mutant_id,mr_id,trial_id,residual
cylinder_flow_meshgraphnet::TR_double_step,mr_update_magnitude,6,2.000075101852417
cylinder_flow_meshgraphnet::PC_swap_xy,mr_update_magnitude,6,0.99999988079071045
cylinder_flow_meshgraphnet::PC_zero_vy,mr_update_magnitude,6,0.72659814357757568
cylinder_flow_meshgraphnet::BC_zero_inflow,mr_rollout_direction,6,1.1920928955078125e-07
cylinder_flow_meshgraphnet::BC_nonzero_wall,mr_rollout_direction,6,1.1920928955078125e-07
cylinder_flow_meshgraphnet::MA_drop_edges,mr_rollout_direction,6,0.21477103233337402
cylinder_flow_meshgraphnet::MA_permute_edges,mr_rollout_direction,6,0.31067407131195068
cylinder_flow_meshgraphnet::NS_skip_denorm,mr_rollout_direction,6,0.00022649765014648438
cylinder_flow_meshgraphnet::NS_double_scale,mr_rollout_direction,6,0
cylinder_flow_meshgraphnet::TR_sign_flip,mr_rollout_direction,6,1.9999998807907104
cylinder_flow_meshgraphnet::TR_double_step,mr_rollout_direction,6,0.0029768943786621094
cylinder_flow_meshgraphnet::PC_swap_xy,mr_rollout_direction,6,0.94083863496780396
cylinder_flow_meshgraphnet::PC_zero_vy,mr_rollout_direction,6,0.32447171211242676
cylinder_flow_meshgraphnet::BC_zero_inflow,mr_channel_energy,6,0
cylinder_flow_meshgraphnet::BC_nonzero_wall,mr_channel_energy,6,0
cylinder_flow_meshgraphnet::MA_drop_edges,mr_channel_energy,6,0.30688682198524475
cylinder_flow_meshgraphnet::MA_permute_edges,mr_channel_energy,6,0.34745952486991882
cylinder_flow_meshgraphnet::NS_skip_denorm,mr_channel_energy,6,0.088873535394668579
cylinder_flow_meshgraphnet::NS_double_scale,mr_channel_energy,6,2.001236936166606e-07
cylinder_flow_meshgraphnet::TR_sign_flip,mr_channel_energy,6,1.000618468083303e-07
cylinder_flow_meshgraphnet::TR_double_step,mr_channel_energy,6,0.01000948715955019
cylinder_flow_meshgraphnet::PC_swap_xy,mr_channel_energy,6,0.29544156789779663
cylinder_flow_meshgraphnet::PC_zero_vy,mr_channel_energy,6,1
cylinder_flow_meshgraphnet::BC_zero_inflow,mr_swap_signature,6,0.032166235663275436
cylinder_flow_meshgraphnet::BC_nonzero_wall,mr_swap_signature,6,0.032166235663275436
cylinder_flow_meshgraphnet::MA_drop_edges,mr_swap_signature,6,-0.021002707571196322
cylinder_flow_meshgraphnet::MA_permute_edges,mr_swap_signature,6,-0.20262622115852963
cylinder_flow_meshgraphnet::NS_skip_denorm,mr_swap_signature,6,0.032515675949523752
cylinder_flow_meshgraphnet::NS_double_scale,mr_swap_signature,6,0.032166174359868314
cylinder_flow_meshgraphnet::TR_sign_flip,mr_swap_signature,6,-0.032166230654954067
cylinder_flow_meshgraphnet::TR_double_step,mr_swap_signature,6,0.033645433541552812
cylinder_flow_meshgraphnet::PC_swap_xy,mr_swap_signature,6,0.99999999999218181
cylinder_flow_meshgraphnet::PC_zero_vy,mr_swap_signature,6,-0.007488478699737719
cylinder_flow_meshgraphnet::BC_zero_inflow,mr_update_smoothness,6,0
cylinder_flow_meshgraphnet::BC_nonzero_wall,mr_update_smoothness,6,0
cylinder_flow_meshgraphnet::MA_drop_edges,mr_update_smoothness,6,0.15539554295778368
cylinder_flow_meshgraphnet::MA_permute_edges,mr_update_smoothness,6,0.31858158737149272
cylinder_flow_meshgraphnet::NS_skip_denorm,mr_update_smoothness,6,13129.597640020678
cylinder_flow_meshgraphnet::NS_double_scale,mr_update_smoothness,6,3
cylinder_flow_meshgraphnet::TR_sign_flip,mr_update_smoothness,6,2.0091428052495688e-07
cylinder_flow_meshgraphnet::TR_double_step,mr_update_smoothness,6,2.9563369067277554
cylinder_flow_meshgraphnet::PC_swap_xy,mr_update_smoothness,6,1.0045714026247844e-07
cylinder_flow_meshgraphnet::PC_zero_vy,mr_update_smoothness,6,0.4972844928129948
cylinder_flow_meshgraphnet::BC_zero_inflow,mr_inflow_dirichlet,8,2.2239134311676025
cylinder_flow_meshgraphnet::BC_nonzero_wall,mr_inflow_dirichlet,8,0
cylinder_flow_meshgraphnet::MA_drop_edges,mr_inflow_dirichlet,8,0
cylinder_flow_meshgraphnet::MA_permute_edges,mr_inflow_dirichlet,8,0
cylinder_flow_meshgraphnet::NS_skip_denorm,mr_inflow_dirichlet,8,0
cylinder_flow_meshgraphnet::NS_double_scale,mr_inflow_dirichlet,8,0
cylinder_flow_meshgraphnet::TR_sign_flip,mr_inflow_dirichlet,8,0
cylinder_flow_meshgraphnet::TR_double_step,mr_inflow_dirichlet,8,0
cylinder_flow_meshgraphnet::PC_swap_xy,mr_inflow_dirichlet,8,0
cylinder_flow_meshgraphnet::PC_zero_vy,mr_inflow_dirichlet,8,0
cylinder_flow_meshgraphnet::BC_zero_inflow,mr_wall_noslip,8,0
cylinder_flow_meshgraphnet::BC_nonzero_wall,mr_wall_noslip,8,0.2828427255153656
cylinder_flow_meshgraphnet::MA_drop_edges,mr_wall_noslip,8,0
cylinder_flow_meshgraphnet::MA_permute_edges,mr_wall_noslip,8,0
cylinder_flow_meshgraphnet::NS_skip_denorm,mr_wall_noslip,8,0
cylinder_flow_meshgraphnet::NS_double_scale,mr_wall_noslip,8,0
cylinder_flow_meshgraphnet::TR_sign_flip,mr_wall_noslip,8,0
cylinder_flow_meshgraphnet::TR_double_step,mr_wall_noslip,8,0
cylinder_flow_meshgraphnet::PC_swap_xy,mr_wall_noslip,8,0
cylinder_flow_meshgraphnet::PC_zero_vy,mr_wall_noslip,8,0
cylinder_flow_meshgraphnet::BC_zero_inflow,mr_update_magnitude,8,1
cylinder_flow_meshgraphnet::BC_nonzero_wall,mr_update_magnitude,8,1
cylinder_flow_meshgraphnet::MA_drop_edges,mr_update_magnitude,8,0.78253543376922607
cylinder_flow_meshgraphnet::MA_permute_edges,mr_update_magnitude,8,0.73655164241790771
cylinder_flow_meshgraphnet::NS_skip_denorm,mr_update_magnitude,8,114.09555053710938
cylinder_flow_meshgraphnet::NS_double_scale,mr_update_magnitude,8,2.0000002384185791
cylinder_flow_meshgraphnet::TR_sign_flip,mr_update_magnitude,8,1
cylinder_flow_meshgraphnet::TR_double_step,mr_update_magnitude,8,1.9934737682342529
cylinder_flow_meshgraphnet::PC_swap_xy,mr_update_magnitude,8,1.0000001192092896
cylinder_flow_meshgraphnet::PC_zero_vy,mr_update_magnitude,8,0.72267460823059082
cylinder_flow_meshgraphnet::BC_zero_inflow,mr_rollout_direction,8,1.1920928955078125e-07
cylinder_flow_meshgraphnet::BC_nonzero_wall,mr_rollout_direction,8,1.1920928955078125e-07
cylinder_flow_meshgraphnet::MA_drop_edges,mr_rollout_direction,8,0.20155316591262817
cylinder_flow_meshgraphnet::MA_permute_edges,mr_rollout_direction,8,0.34007799625396729
cylinder_flow_meshgraphnet::NS_skip_denorm,mr_rollout_direction,8,0.00022399425506591797
cylinder_flow_meshgraphnet::NS_double_scale,mr_rollout_direction,8,1.1920928955078125e-07
cylinder_flow_meshgraphnet::TR_sign_flip,mr_rollout_direction,8,1.9999998807907104
cylinder_flow_meshgraphnet::TR_double_step,mr_rollout_direction,8,0.0030831098556518555
cylinder_flow_meshgraphnet::PC_swap_xy,mr_rollout_direction,8,0.98596805334091187
